Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Andaman Sea,Andaman and Nicobar Islands,Pondicherry University,Savuri Rajan,Existing point data,"Savurirajan, M., Equbal, J., Lakra, R. K., Satyam, K., & Thiruchitrambalam, G. (2018). Species diversity and distribution of seagrasses from the South Andaman, Andaman and Nicobar Islands, India. Botanica Marina, 61(3), 225-234. "
Andaman Sea,Andaman and Nicobar Islands,"Wildlife Conservation Society, India",Vardhan Patankar,Existing point data,"Patankar, V., Wagh, T., & Marathe, A. (2019). Protected areas and benthic characteristics influence the distribution of the Vulnerable bumphead parrotfish Bolbometopon muricatum in the Andaman and Nicobar Islands, India. Oryx, 54(4), 564-571. https://doi.org/10.1017/s0030605318000376 "
Andaman Sea,Andaman and Nicobar Islands,Ministry of Environment and Forests India,Paulose et al.,Published paper or report,"Paulose, N. E., Dilipan, E., & Thangaradjou, T. (2013). Integrating Indian remote sensing multi-spectral satellite and field data to estimate seagrass cover change in the Andaman and Nicobar Islands, India. Ocean Science Journal, 48(2), 173-181. https://doi.org/10.1007/s12601-013-0014-1"
Andaman Sea,Andaman Islands,Birbal Sahni Institute of Palaeobotany,"Suman Sarkar, Samir Sarkar",Published paper or report,"Sarkar, S. & Sarkar, S. (2016). Diversity of corals and benthic algae across the shallow-water reefs of Andaman Islands: managing the valuable ecosystems. Environment, development and sustainability, 18(6), 1801-1814. "
Andaman Sea,Andaman Islands,Indian National Centre for Ocean Information Services (INCOIS),Mahendra et al.,Published paper or report,"Mahendra, R., Mohanty, P., Bisoyi, H., & Srinivasa, K. (2014). Geospatial assessment of coral and mangrove environs of the Andaman Islands. International Journal of Earth Sciences and Engineering, 7(1), 275-279."
Andaman Sea,Andaman Islands,Zoological Survey of India,Turner et al.,Published paper or report,"Turner, J., Vousden, D., Klausi, R., Satyanarayana, C. H., Fenner, D., Venkataraman, K., Rajan, P. T., & Ra, N. V. (2009). Coral Reef Ecosystems of Andaman Islands Remote Sensing and Rapid Site Assessment Survey. "
Andaman Sea,Andaman Islands and Thailand,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Andaman Sea,Andaman Sea,CAMPA-Dugong Project of Wildlife Institute of India,"Swapnali Gole, Sohini Dudhat, K. Sivakumar, Anant Pande",Existing point data,"Gole Swapnali, Dudhat Sohini, Pande Anant & Sivakumar Kuppusamy (2020) seagrass meadow locations dataset for Dugong Recovery Program, CAMPA-Dugong Project, Wildlife Institute of India, Dehradun, India. 
"
Andaman Sea,India ,"Department of Ocean Studies and Marine Biology, Pondicherry University",Dharanirajan et al.,Published paper or report,"Dharanirajan, K., Thanikachalam, M., Gurugnanam, B., Narayanam, R., & Falia, G. C. (2010). Remote Sensing and GIS for the study of coastal ecosystem changes and its conservation. International Journal Earth Science and Engineering, 3, 512-524."
Andaman Sea,India ,"Spatial Informatics, International Institute of Information Technology (IIIT)",Teja Kondraju et al.,Published paper or report,"Teja Kondraju, T., Mandla, V. R. B., Mahendra, R., & Kumar, T. S. (2014). Evaluation of various image classification techniques on Landsat to identify coral reefs. Geomatics, Natural Hazards and Risk, 5(2), 173-184. https://doi.org/https://doi.org/10.1080/19475705.2013.802748 "
